"CO_PAIS";"CO_PAIS_ISON3";"CO_PAIS_ISOA3";"NO_PAIS";"NO_PAIS_ING";"NO_PAIS_ESP"
"246";"705";"SVN";"Eslovênia";"Slovenia";"Eslovenia"
"247";"703";"SVK";"Eslováquia";"Slovakia";"Eslovaquia"
"249";"840";"USA";"Estados Unidos";"United States";"Estados Unidos"
"251";"233";"EST";"Estônia";"Estonia";"Estonia"
"253";"231";"ETH";"Etiópia";"Ethiopia";"Etiopía"
"255";"238";"FLK";"Falkland (Malvinas)";"Falkland Islands (Malvinas)";"Malvinas (Falkland), Islas"
"259";"234";"FRO";"Faroe, Ilhas";"Faroe Islands";"Feroé, Islas"
"267";"608";"PHL";"Filipinas";"Philippines";"Filipinas"
"271";"246";"FIN";"Finlândia";"Finland";"Finlandia"
"275";"250";"FRA";"França";"France";"Francia"
"281";"266";"GAB";"Gabão";"Gabon";"Gabón"
"285";"270";"GMB";"Gâmbia";"Gambia";"Gambia"
"289";"288";"GHA";"Gana";"Ghana";"Ghana"
"291";"268";"GEO";"Geórgia";"Georgia";"Georgia"
"292";"239";"SGS";"Geórgia do Sul e Sandwich do Sul, Ilhas";"South Georgia and the South Sandwich Islands";"Islas Georgias del Sur y Sandwich del Sur"
"293";"292";"GIB";"Gibraltar";"Gibraltar";"Gibraltar"
"297";"308";"GRD";"Granada";"Grenada";"Granada"
"301";"300";"GRC";"Grécia";"Greece";"Grecia"
"305";"304";"GRL";"Groenlândia";"Greenland";"Groenlandia"
"309";"312";"GLP";"Guadalupe";"Guadeloupe";"Guadalupe"
"313";"316";"GUM";"Guam";"Guam";"Guam"
"317";"320";"GTM";"Guatemala";"Guatemala";"Guatemala"
"321";"898";"GGY";"Guernsey";"Guernsey";"Guernsey"
"325";"254";"GUF";"Guiana Francesa";"French Guyana";"Guyana Francesa"
"329";"324";"GIN";"Guiné";"Guinea";"Guinea"
"331";"226";"GNQ";"Guiné Equatorial";"Equatorial Guinea";"Guinea Ecuatorial"
"334";"624";"GNB";"Guiné-Bissau";"Guinea-Bissau";"Guinea-Bissau"
"337";"328";"GUY";"Guiana";"Guyana";"Guyana"
"341";"332";"HTI";"Haiti";"Haiti";"Haiti"
"343";"334";"HMD";"Heard e ilhas mcdonald, Ilha";"
Heard Island and McDonald Islands";"Islas Heard y McDonald"
"345";"340";"HND";"Honduras";"Honduras";"Honduras"
"351";"344";"HKG";"Hong Kong";"Hong Kong";"Hong Kong"
"355";"348";"HUN";"Hungria";"Hungary";"Hungría"
"357";"887";"YEM";"Iêmen";"Yemen";"Yemen"
"358";"720";"YMD";"Iêmen Democrático";"Democratic Yemen";"Yemen Democrático"
"359";"833";"IMN";"Ilha de Man";"Isle of Man";"Isla de Man"
"361";"356";"IND";"Índia";"India";"India"
"365";"360";"IDN";"Indonésia";"Indonesia";"Indonesia"
"367";"826";"GBR";"Inglaterra";"England";"Inglaterra"
"369";"368";"IRQ";"Iraque";"Iraq";"Irak"
"372";"364";"IRN";"Irã";"Iran";"Irán"
"375";"372";"IRL";"Irlanda";"Ireland";"Irlanda"
"379";"352";"ISL";"Islândia";"Iceland";"Islandia"
"383";"376";"ISR";"Israel";"Israel";"Israel"
"386";"380";"ITA";"Itália";"Italy";"Italia"
"388";"891";"SCG";"Iugoslávia";"Yugoslavia";"Yugoslavia"
"391";"388";"JAM";"Jamaica";"Jamaica";"Jamaica"
"393";"898";"ZZZ";"Jersey";"Jersey";"Jersey"
"396";"840";"USA";"Johnston, Ilhas";"Johnston (Island)";"Johnston (Isla)"
"399";"392";"JPN";"Japão";"Japan";"Japón"
"403";"400";"JOR";"Jordânia";"Jordan";"Jordania"
"411";"296";"KIR";"Kiribati";"Kiribati";"Kiribati"
"420";"418";"LAO";"Laos";"Laos";"Laos"
"423";"458";"MYS";"Lebuan, Ilhas";"Lebuan";"Lebuan"
"426";"426";"LSO";"Lesoto";"Lesotho";"Lesotho"
"427";"428";"LVA";"Letônia";"Latvia";"Letonia"
"431";"422";"LBN";"Líbano";"Lebanon";"Líbano"
"434";"430";"LBR";"Libéria";"Liberia";"Liberia"
"438";"434";"LBY";"Líbia";"Libya";"Libia"
"440";"438";"LIE";"Liechtenstein";"Liechtenstein";"Liechtenstein"
"442";"440";"LTU";"Lituânia";"Lithuania";"Lituania"
"445";"442";"LUX";"Luxemburgo";"Luxembourg";"Luxemburgo"
"447";"446";"MAC";"Macau";"Macao";"Macao"
"449";"807";"MKD";"Macedônia";"Macedonia";"Macedonia"
"450";"450";"MDG";"Madagascar";"Madagascar";"Madagascar"
"452";"620";"PRT";"Madeira, Ilha da";"Madeira";"Madeira"
"455";"458";"MYS";"Malásia";"Malaysia";"Malasia"
"458";"454";"MWI";"Malavi";"Malawi";"Malawi"
"461";"462";"MDV";"Maldivas";"Maldives";"Maldivas"
"464";"466";"MLI";"Mali";"Mali";"Mali"
"467";"470";"MLT";"Malta";"Malta";"Malta"
"472";"580";"MNP";"Marianas do Norte, Ilhas";"Northern Marianas";"Marianas Septentrionales, Islas"
"474";"504";"MAR";"Marrocos";"Morocco";"Marruecos"
"476";"584";"MHL";"Marshall, Ilhas";"Marshall Islands";"Islas Marshall"
"477";"474";"MTQ";"Martinica";"Martinique";"Martinica"
"485";"480";"MUS";"Maurício";"Mauritius";"Mauricio"
"488";"478";"MRT";"Mauritânia";"Mauritania";"Mauritania"
"489";"898";"ZZZ";"Mayotte";"Mayotte";"Mayotte"
"490";"581";"UMI";"Midway, Ilhas";"Midway, Islands";"Midways, Islas"
"493";"484";"MEX";"México";"Mexico";"México"
"494";"498";"MDA";"Moldávia";"Moldova";"Moldova, República de"
"495";"492";"MCO";"Mônaco";"Monaco";"Mónaco"
"497";"496";"MNG";"Mongólia";"Mongolia";"Mongolia"
"498";"499";"MNE";"Montenegro";"Montenegro";"Montenegro"
"499";"583";"FSM";"Micronésia";"Micronesia";"Micronesia"
"501";"500";"MSR";"Montserrat";"Montserrat";"Montserrat"
"505";"508";"MOZ";"Moçambique";"Mozambique";"Mozambique"
"507";"516";"NAM";"Namíbia";"Namibia";"Namibia"
"508";"520";"NRU";"Nauru";"Nauru";"Nauru"
"511";"162";"CXR";"Christmas (Navidad), Ilha";"Christmas Island";"Navidad (Christmas), Isla"
"517";"524";"NPL";"Nepal";"Nepal";"Nepal"
"521";"558";"NIC";"Nicarágua";"Nicaragua";"Nicaragua"
"525";"562";"NER";"Níger";"Niger";"Níger"
"528";"566";"NGA";"Nigéria";"Nigeria";"Nigeria"
"531";"570";"NIU";"Niue";"Niue";"Niue"
"535";"574";"NFK";"Norfolk, Ilha";"Norfolk Island";"Norfolk, Islas"
"538";"578";"NOR";"Noruega";"Norway";"Noruega"
"542";"540";"NCL";"Nova Caledônia";"New Caledonia";"Nueva Caledonia"
"545";"598";"PNG";"Papua Nova Guiné";"Papua New Guinea";"Papua Nueva Guinea"
"548";"554";"NZL";"Nova Zelândia";"New Zealand";"Nueva Zelanda"
"551";"548";"VUT";"Vanuatu";"Vanuatu";"Vanuatu"
"556";"512";"OMN";"Omã";"Oman";"Omán"
"563";"581";"UMI";"Pacífico, Ilhas do (Administração dos EUA)";"Pacific, Islands of (U.S. Administration)";"Pacífico, las Islas (EE.UU administración)"
"566";"581";"UMI";"Pacífico, Ilhas do (EUA)";"Pacific Islands (USA)";"Pacífico, Islas del (Estados Unidos)"
"569";"581";"UMI";"Pacífico, Ilhas do (Território Fideicomisso EUA)";"Pacifics, Islands of (U.S. trust territory)";"Pacífico, las islas (EE.UU. TERRITORIO EN FIDEICOMISO"
"573";"528";"NLD";"Países Baixos (Holanda)";"Netherlands";"Países Bajos"
"575";"585";"PLW";"Palau";"Palau";"Palau"
"576";"586";"PAK";"Paquistão";"Pakistan";"Pakistán"
"578";"275";"PSE";"Palestina";"Palestine";"Palestina"
"580";"591";"PAN";"Panamá";"Panama";"Panamá"
"583";"598";"PNG";"Papua, Território de";"Papua territory";"Territorio de Papua"
"586";"600";"PRY";"Paraguai";"Paraguay";"Paraguay"
"589";"604";"PER";"Peru";"Peru";"Perú"
"593";"612";"PCN";"Pitcairn";"Pitcairn";"Pitcairn"
"599";"258";"PYF";"Polinésia Francesa";"French Polynesia";"Polinesia Francesa"
"603";"616";"POL";"Polônia";"Poland";"Polonia"
"607";"620";"PRT";"Portugal";"Portugal";"Portugal"
"611";"630";"PRI";"Porto Rico";"Puerto Rico";"Puerto Rico"
"623";"404";"KEN";"Quênia";"Kenya";"Kenya"
"625";"417";"KGZ";"Quirguistão";"Kyrgyzstan";"Kirguistán"
"628";"826";"GBR";"Reino Unido";"United Kingdom";"Reino Unido"
"640";"140";"CAF";"República Centro-Africana";"Central African Republic";"República Centroafricana"
"647";"214";"DOM";"República Dominicana";"Dominican Republic";"República Dominicana"
"660";"638";"REU";"Reunião";"Reunion";"Reunión"
"665";"716";"ZWE";"Zimbábue";"Zimbabwe";"Zimbabwe"
"670";"642";"ROU";"Romênia";"Romania";"Rumania"
"675";"646";"RWA";"Ruanda";"Rwanda";"Ruanda"
"676";"643";"RUS";"Rússia";"Russia";"Rusia"
"677";"090";"SLB";"Salomão, Ilhas";"Solomon Islands";"Salomón, Islas"
"678";"659";"KNA";"Saint Kitts e Nevis";"St. Kitts and Nevis";"St. Kitts y Nevis"
"685";"732";"ESH";"Saara Ocidental";"Western Sahara";"Sahara Occidental"
"687";"222";"SLV";"El Salvador";"El Salvador";"El Salvador"
"690";"882";"WSM";"Samoa";"Samoa";"Samoa"
"691";"016";"ASM";"Samoa Americana";"Americana Samoa";"Samoa Americana"
"693";"652";"BLM";"São Bartolomeu";"Saint Barthelemy";"San Bartolomé"
"695";"659";"KNA";"São Cristóvão e Névis";"Saint Christopher and Nevis";"Saint Kitts y Nevis"
"697";"674";"SMR";"San Marino";"San Marino";"San Marino"
"698";"898";"ZZZ";"São Martinho, Ilha de (parte francesa)";"São Martinho, Ilha de (parte francesa)";"São Martinho, Ilha de (parte francesa)"
"699";"534";"SXM";"Sint Maarten";"Sint Maarten";"Sint Maarten"
"700";"666";"SPM";"São Pedro e Miquelon";"Saint Pierre and Miquelon";"Saint Pierre y Miquelon"
"705";"670";"VCT";"São Vicente e Granadinas";"Saint Vicent and the Granadines";"San Vicente y las Granadinas"
"710";"654";"SHN";"Santa Helena";"Saint Helena";"Santa Helena, Ascención y Tristán de Acuña"
"715";"662";"LCA";"Santa Lúcia";"Saint Lucia";"Santa Lucia"
"720";"678";"STP";"São Tomé e Príncipe";"São Tome and Principe";"Santo Tomé y Príncipe"
"728";"686";"SEN";"Senegal";"Senegal";"Senegal"
"731";"690";"SYC";"Seicheles";"Seychelles";"Seychelles"
"735";"694";"SLE";"Serra Leoa";"Sierra Leone";"Sierra Leona"
"737";"688";"SRB";"Sérvia";"Serbia";"Serbia"
"741";"702";"SGP";"Singapura";"Singapore";"Singapur"
"744";"760";"SYR";"Síria";"Syria";"Siria"
"748";"706";"SOM";"Somália";"Somalia";"Somalia"
"750";"144";"LKA";"Sri Lanka";"Sri Lanka";"Sri Lanka"
"754";"748";"SWZ";"Suazilândia";"Swaziland";"Swazilandia"
"755";"744";"SJM";"Svalbard e Jan Mayen";"Svalbard and Jan Mayen";"Svalbard y Jan Mayen"
"756";"710";"ZAF";"África do Sul";"South Africa";"Sudáfrica"
"759";"736";"SDN";"Sudão";"Sudan";"Sudán"
"760";"728";"SSD";"Sudão do Sul";"South Sudan";"Sudán del Sur"
"764";"752";"SWE";"Suécia";"Sweden";"Suecia"
"767";"756";"CHE";"Suíça";"Switzerland";"Suiza"
"770";"740";"SUR";"Suriname";"Suriname";"Suriname"
"772";"762";"TJK";"Tadjiquistão";"Tajikistan";"Tayikistán"
"776";"764";"THA";"Tailândia";"Thailand";"Tailandia"
"780";"834";"TZA";"Tanzânia";"Tanzania";"Tanzanía"
"781";"898";"ATF";"Terras Austrais Francesas";"French Southern Lands";"Tierras Australes Francesas"
"782";"086";"IOT";"Território Britânico do Oceano Índico";"British Indian Ocean Territory";"Territorio Británico del Océano Indico"
"783";"262";"DJI";"Djibuti";"Djibouti";"Djibouti"
"785";"898";"ZZZ";"Território da Alta Comissão do Pacífico Ocidental";"Territory of the High Commissioner of the Western Pacif";"Territorio del Alto Comisionado del Pacífico Occidental"
"786";"826";"GBR";"Território Antártico Britânico";"British Antarctic Territory";"Territorio Antártico Británico"
"788";"148";"TCD";"Chade";"Chad";"Chad"
"790";"200";"CSK";"Tchecoslováquia";"Czechoslovakia";"Checoslovaquia"
"791";"203";"CZE";"Tcheca, República";"Czech Republic";"República Checa"
"795";"626";"TLS";"Timor Leste";"East Timor";"Timor Leste"
"800";"768";"TGO";"Togo";"Togo";"Togo"
"805";"772";"TKL";"Toquelau";"Tokelau";"Tokelau"
"810";"776";"TON";"Tonga";"Tonga";"Tonga"
"815";"780";"TTO";"Trinidad e Tobago";"Trinidad and Tobago";"Trinidad y Tobago"
"820";"788";"TUN";"Tunísia";"Tunisia";"Túnez"
"823";"796";"TCA";"Turcas e Caicos, Ilhas";"Turks and Caicos, Islands";"Turcas y Caicos, Islas"
"824";"795";"TKM";"Turcomenistão";"Turkmenistan";"Turkmenistán"
"827";"792";"TUR";"Turquia";"Turkey";"Turquía"
"828";"798";"TUV";"Tuvalu";"Tuvalu";"Tuvalu"
"831";"804";"UKR";"Ucrânia";"Ukraine";"Ucrania"
"833";"800";"UGA";"Uganda";"Uganda";"Uganda"
"840";"898";"ZZZ";"União das Repúblicas Socialistas Soviéticas";"Union of Soviet Socialist Republics";"Unión de Repúblicas Socialistas Soviéticas"
"845";"858";"URY";"Uruguai";"Uruguay";"Uruguay"
"847";"860";"UZB";"Uzbequistão";"Uzbekistan";"Uzbekistán"
"848";"336";"VAT";"Vaticano";"Vatican City";"Santa Sede (Vaticano)"
"850";"862";"VEN";"Venezuela";"Venezuela";"Venezuela"
"858";"704";"VNM";"Vietnã";"Vietnam";"Viet Nam"
"863";"092";"VGB";"Virgens, Ilhas (Britânicas)";"Virgin Islands (UK)";"Vírgenes Británicas, Islas"
"866";"850";"VIR";"Virgens, Ilhas (Americanas)";"Virgin Islands (USA)";"Vírgenes de los Estados Unidos, Islas"
"870";"242";"FJI";"Fiji";"Fiji";"Fiji"
"873";"840";"USA";"Wake, Ilha";"Wake Island";"Isla Wake"
"875";"876";"WLF";"Wallis e Futuna, Ilhas";"Wallis and Futuna";"Wallis y Futuna"
"888";"180";"COD";"Congo, República Democrática";"Democratic Republic of the Congo";"República Democrática del Congo"
"890";"894";"ZMB";"Zâmbia";"Zambia";"Zambia"
"895";"592";"PCZ";"Zona do Canal do Panamá";"Panama Canal Zone";"Zona del Canal de Panamá"
"990";"898";"ZZZ";"Provisão de Navios e Aeronaves";"Planes and ships provisions";"Disposiciones para buques y aviones"
"994";"898";"ZZZ";"A Designar";"To define";"A designar"
"995";"898";"ZZZ";"Bancos Centrais";"Central Banks";"Bancos Centrales"
"997";"898";"ZZZ";"Organizações Internacionais";"International Organizations";"Organizaciones Internacionales"
"998";"898";"ZZZ";"Sem informação";"Sem informação";"Sem informação"
"999";"898";"ZZZ";"Não Declarados";"Not declared";"No declarados"
